"","X","PrizeID","Alias","Prize.Name","Inst","Year","Genre","person_id","person_role","last_name","first_name","name","gender","sexuality","uk_residence","ethnicity_macro","ethnicity","highest_degree","degree_institution","degree_field_category","degree_field","viaf","book_id","book_title"
"789",789,14,"TS Eliot Prize","TS Eliot Prize","TS Eliot Foundation",2017,"poetry",526,"winner","Vuong","Ocean","Vuong, Ocean","man","queer",FALSE,"Asian","Vietnamese American","Masters","NYU","Writing","Poetry","17145003693061340818",673,"Night Sky with Exit Wounds"
"790",790,15,"Ted Hughes Award for New Work in Poetry","Ted Hughes Award for New Work in Poetry","Poetry Society",2018,"poetry",590,"winner","Antrobus","Raymond","Antrobus, Raymond","man","unknown",TRUE,"Black British","Jamaican British","Masters","University of London","Language and Literature","Spoken Word Education","722157583850633970008",751,"The Perserverance"
"791",791,13,"James Tait Black Prize for Drama","James Tait Black Prize for Drama","The University of Edinburgh",2018,"drama",514,"winner","Barron","Clare","Barron, Clare","woman","unknown",FALSE,"Non-UK White","White American","Bachelors","Yale University","Unknown","Unknown","239146094350300332691",661,"Dance Nation"
"792",792,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2018,"fiction",316,"shortlisted","Batuman","Elif","Batuman, Elif","woman","unknown",FALSE,"Non-UK White","Turkish American","Doctorate","Stanford University","Language and Literature","Comparative Literature","90451685",387,"The Idiot"
"793",793,8,"Booker Prize","Man Booker Prize","Booker Foundation",2018,"fiction",193,"winner","Burns","Anna","Burns, Anna","woman","unknown",TRUE,"White British","Northern Irish","None","none","None","None","85321496",43,"Milkman"
"794",794,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2018,"crime",431,"winner","Cavanagh","Steve","Cavanagh, Steve","man","unknown",TRUE,"White British","Northern Irish","Unknown","unknown","Law","Law","21144782963693754825",545,"The Liar"
"795",795,15,"Ted Hughes Award for New Work in Poetry","Ted Hughes Award for New Work in Poetry","Poetry Society",2018,"poetry",591,"shortlisted","Doshi","Tishani","Doshi, Tishani","woman","unknown",TRUE,"Asian","Indian Welsh","Masters","Johns Hopkins","Writing","Creative Writing","4456107",752,"Girls Are Coming Out of the Woods"
"796",796,8,"Booker Prize","Man Booker Prize","Booker Foundation",2018,"fiction",194,"shortlisted","Edugyan","Esi","Edugyan, Esi","woman","unknown",FALSE,"African","Ghanaian Canadian","Masters","Johns Hopkins","Writing","Creative Writing","11696535",82,"Washington Black"
"797",797,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2018,"non-fiction",616,"shortlisted","Fry","Hannah","Fry, Hannah","woman","unknown",TRUE,"White British","English","Doctorate","unknown","Maths and Sciences","Fluid Dynamics","314908506",778,"Hello World"
"798",798,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2018,"fiction",317,"shortlisted","Gowar","Imogen Hermes","Gowar, Imogen Hermes","woman","unknown",TRUE,"White British","British","Bachelors","University of East Anglia","History and Cultural Studies","Archaeology, Anthropology and Art History","1985151965362100470003",388,"The Mermaid and Mrs. Hancock"
"799",799,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2018,"fiction",318,"shortlisted","Greengrass","Jessie","Greengrass, Jessie","woman","unknown",TRUE,"White British","British","Bachelors","University of Cambridge","Philosophy and Theology","Philosophy","157144782730339052337",389,"Sight"
"800",800,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2018,"crime",423,"shortlisted","Herron","Mick","Herron, Mick","man","unknown",TRUE,"White British","British","Bachelors","University of Oxford","Language and Literature","English","24546389",546,"London Rules"
"801",801,8,"Booker Prize","Man Booker Prize","Booker Foundation",2018,"fiction",195,"shortlisted","Johnson","Daisy","Johnson, Daisy","woman","unknown",TRUE,"White British","British","Masters","University of Oxford","Writing","Creative Writing","138147118306026342300",160,"Everything Under"
"802",802,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2018,"fiction",319,"shortlisted","Kandasamy","Meena","Kandasamy, Meena","woman","unknown",TRUE,"Asian","Indian","Doctorate","unknown","Language and Literature","Sociolinguistics","296825710",390,"When I hit you: or, a Portrait of the Writer as a Young Wife"
"803",803,8,"Booker Prize","Man Booker Prize","Booker Foundation",2018,"fiction",196,"shortlisted","Kushner","Rachel","Kushner, Rachel","woman","unknown",FALSE,"Non-UK White","White American","Masters","Columbia University","Writing","Creative Writing","20621405",170,"The Mars Room"
"804",804,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2018,"crime",432,"shortlisted","Lehane","Dennis","Lehane, Dennis","man","unknown",FALSE,"Irish","Irish American","Masters","Florida International University","Writing","Creative Writing","10004693",547,"Since We Fell"
"805",805,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2018,"non-fiction",617,"shortlisted","Macintyre","Ben","Macintyre, Ben","man","unknown",TRUE,"White British","British","Unknown","unknown","Unknown","Unknown","39453414",779,"The Spy and the Traitor"
"806",806,15,"Ted Hughes Award for New Work in Poetry","Ted Hughes Award for New Work in Poetry","Poetry Society",2018,"poetry",592,"shortlisted","McFarlane","Roy","McFarlane, Roy","man","unknown",TRUE,"Caribbean","Jamaican British","Masters","Newcastle University","Writing","Writing Poetry","241916684",753,"The Healing Next Time"
"807",807,7,"Costa Children's Book Award","Costa Children's Book Award","Costa",2018,"children's",53,"winner","McKay","Hilary","McKay, Hilary","woman","unknown",TRUE,"White British","English","Bachelors","University of St Andrews","Multiple","Botany, Zoology and English","79115492",215,"The Skylarks' War"
"808",808,6,"Costa Poetry Award","Costa Poetry Award","Costa",2018,"poetry",52,"winner","Morgan","JO","Morgan, JO","man","unknown",TRUE,"White British","Scottish","Unknown","Harvard University","Multiple","Theology and Literature","86088396",232,"Assurances"
"809",809,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2018,"crime",415,"shortlisted","Mukherjee","Abir","Mukherjee, Abir","man","unknown",TRUE,"Asian","British Indian","Unknown","unknown","Unknown","Unknown","30147118128226340509",543,"A Necessary Evil"
"810",810,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2018,"non-fiction",618,"shortlisted","Page McBee","Thomas","Page McBee, Thomas","transman","unknown",FALSE,"Non-UK White","White American","Unknown","San Fransisco State","Unknown","Unknown","309822184",780,"Amateur"
"811",811,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2018,"non-fiction",619,"shortlisted","Platt","Stephen R","Platt, Stephen R","man","unknown",FALSE,"Non-UK White","White American","Doctorate","Yale University","History and Cultural Studies","Chinese History","58527487",781,"Imperial Twilight"
"812",812,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2018,"non-fiction",615,"winner","Plokhy","Serhii","Plokhy, Serhii","man","unknown",FALSE,"Non-UK White","Ukrainian","Doctorate","Kiev University","History and Cultural Studies","History","12522767",777,"Chernobyl: History of a Tragedy"
